id,post_type,status,framework_name,framework_steps,result,timeframe,common_belief,client_name,starting_point,client_result,what_we_did,why_wrong,what_works,mistake_made,time_money_wasted,lesson_learned,current_approach,number_reviewed,percentage_mistakes,common_mistakes,corrections,image_context
"AUT-001","authority_builder","ready","Das 4-Stufen SEO System","1. Keyword Research mit Search Intent\n2. On-Page Optimierung\n3. Content Cluster erstellen\n4. Backlink Strategie","Top 10 Rankings für 80% der Keywords","3 Monate","SEO dauert immer 6+ Monate","","","","","","","","","","","","","","","Person zeigt auf Whiteboard mit SEO-Strategie"
"AUT-002","authority_builder","ready","Der Content Multiplier","1. Pillar Content erstellen\n2. In 5+ Formate umwandeln\n3. Auf verschiedenen Kanälen verteilen","5x mehr Reichweite bei gleichem Aufwand","2 Wochen","Man muss für jeden Kanal neuen Content erstellen","","","","","","","","","","","","","","","Jemand am Laptop mit mehreren Social Media Tabs offen"
"WIN-001","client_win","ready","","","","","","Ein E-Commerce Kunde","0,5% Conversion Rate, kein organischer Traffic","3,2% Conversion Rate, 150% mehr organischer Traffic","Technisches SEO Audit, Content Strategie, Link Building","","","","","","","","","","","Glücklicher Geschäftsinhaber vor steigenden Grafiken"
"WIN-002","client_win","ready","","","","","","SaaS Startup aus Berlin","Keine Sichtbarkeit bei Google","Position 1 für 12 Money Keywords","Wettbewerber-Analyse, Content Gap Filling, Brand Building","","","","","","","","","","","Team feiert Erfolg im Büro"
"CONT-001","controversy","ready","","","","","Mehr Content = bessere Rankings","","","","","Die meisten Websites haben zu viel minderwertigen Content","Weniger aber besserer Content mit klarem Search Intent","","","","","","","","","Person wirft Papiere in den Mülleimer"
"CONT-002","controversy","ready","","","","","Backlinks kaufen ist der schnellste Weg zu Rankings","","","","","Gekaufte Links werden oft abgestraft","Echte PR und Content Marketing für natürliche Links","","","","","","","","","Warnschilder und rote Flaggen"
"MIS-001","mistake","ready","","","","","","","","","","","","Zu früh auf Backlinks fokussiert ohne Content-Basis","6 Monate und 5.000 Euro","Erst Content, dann Links","Minimum 20 qualitative Seiten bevor Link Building","","","","","Person mit Kopf in den Händen am Schreibtisch"
"MIS-002","mistake","ready","","","","","","","","","","","","Keywords ohne Search Intent optimiert","3 Monate Arbeit für Traffic der nicht konvertiert","Search Intent ist wichtiger als Suchvolumen","Jedes Keyword wird auf Intent geprüft bevor optimiert wird","","","","","Frustrierte Person vor Computer mit Bounce Rate Grafik"
"AUD-001","audit","ready","","","","","","","","","","","","","","","","50 Website-Audits","78%","Fehlende Meta Descriptions, langsame Ladezeiten, kein HTTPS","Technisches SEO Checklist, Core Web Vitals Optimierung","Detektiv mit Lupe untersucht Website"
"AUD-002","audit","ready","","","","","","","","","","","","","","","","100 LinkedIn Profile von SEO-Experten","65%","Kein klares Angebot, zu viel Jargon, keine Ergebnisse gezeigt","Klare Value Proposition, konkrete Zahlen, Case Studies","Person analysiert Profile auf großem Monitor"
"HOW-001","how_to","ready","Der perfekte Blog Post","1. Keyword mit niedrigem KD finden\n2. Top 10 analysieren\n3. Besseren Content erstellen\n4. On-Page optimieren\n5. Interne Links setzen","Top 5 Ranking in 4-6 Wochen","4-6 Wochen","","","","","","","","","","","","","","","Person schreibt konzentriert am Laptop"
"HOW-002","how_to","ready","Content Audit Prozess","1. Alle URLs exportieren\n2. Nach Traffic und Rankings sortieren\n3. Entscheiden: Keep, Update, Merge, Delete\n4. Priorisieren nach Impact","Bis zu 40% mehr organischer Traffic","2 Wochen für Audit, 3 Monate für Umsetzung","","","","","","","","","","","","","","","Tabellen und Checklisten auf dem Bildschirm"
